x, y
0.0136041,0.183656
0.0182215,-0.170826
0.0468338,-0.00702507
0.0668089,-0.216015
0.0827506,0.11723
0.0835185,0.0672788
0.0961005,-0.125846
0.173703,-0.144753
0.200427,-0.104667
0.230577,-0.0465588
0.258182,-0.0328197
0.261414,0.0588181
0.277161,-0.121524
0.276433,0.05831
0.305705,-0.044582
0.381678,-0.0854799
0.432603,0.0664083
0.464052,-0.00552443
0.484703,0.0125664
0.54988,0.018002
0.596028,-0.0136149
0.599662,0.0404772
0.671778,-0.019304
0.698644,0.0204071
0.782499,-0.00272965
0.844211,-0.00202287
0.84442,0.00606043
0.876677,0.000543171
0.945226,-0.00075018
0.981399,8.64974e-05
